defendant_age,defendant_gender,num_victims,victim_genders,offence_category,offence_subcategory
62,female,1,male,theft,theftFromPlace
17,male,1,male,theft,pocketpicking
not known,male,1,male,theft,pocketpicking
not known,male,1,male,theft,simpleLarceny
52,male,1,female,theft,pocketpicking
40,male,0,nan,sexual,bigamy
not known,male,1,female,theft,pocketpicking
not known,female,1,male,theft,housebreaking
30,male,0,nan,royalOffences,coiningOffences
23,male,1,male,theft,grandLarceny
30,male,1,male,theft,theftFromPlace
60,male,1,male,deception,fraud
61,male,0,nan,theft,theftFromPlace
not known,male,1,male,theft,pocketpicking
not known,female,1,male,theft,pocketpicking
49,male,0,nan,deception,forgery
53,female,0,nan,deception,forgery
34,male,1,male,kill,manslaughter
21,male,1,male,theft,pocketpicking
not known,female,1,female,theft,theftFromPlace
28,male,1,male,theft,pocketpicking
not known,male,1,male,theft,grandLarceny
34,male,1,male,theft,stealingFromMaster
28,male,1,male,breakingPeace,wounding
not known,male,2,female;female,theft,grandLarceny
not known,male,0,nan,breakingPeace,riot
not known,male,1,male,theft,housebreaking
24,female,0,nan,royalOffences,coiningOffences
24,male,2,male;male,theft,grandLarceny
23,male,0,nan,royalOffences,coiningOffences
not known,female,1,male,theft,grandLarceny
22,female,1,male,theft,pocketpicking
30,female,0,nan,royalOffences,coiningOffences
not known,male,1,male,theft,simpleLarceny
not known,female,1,male,theft,grandLarceny
not known,male,0,nan,sexual,rape
33,male,1,male,theft,grandLarceny
not known,male,1,male,kill,murder
17,male,1,male,theft,stealingFromMaster
not known,male,1,male,theft,grandLarceny
not known,female,1,male,theft,grandLarceny
not known,female,1,female,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
27,female,1,male,theft,pocketpicking
19,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,grandLarceny
not known,male,1,male,kill,manslaughter
52,male,0,nan,deception,fraud
24,male,0,nan,royalOffences,coiningOffences
37,male,0,nan,deception,forgery
21,male,1,male,theft,grandLarceny
49,male,1,male,breakingPeace,wounding
not known,male,3,male;male;male,theft,simpleLarceny
not known,male,1,male,kill,murder
28,female,1,male,kill,manslaughter
not known,male,1,male,theft,stealingFromMaster
47,male,1,male,theft,embezzlement
not known,female,1,male,theft,grandLarceny
not known,female,1,male,theft,pocketpicking
44,male,2,male;male,theft,simpleLarceny
not known,male,1,male,violentTheft,highwayRobbery
21,male,1,female,breakingPeace,wounding
not known,female,1,male,theft,grandLarceny
26,female,1,male,breakingPeace,libel
19,female,1,male,theft,stealingFromMaster
not known,female,1,male,theft,other
26,male,0,nan,royalOffences,coiningOffences
not known,male,2,male;male,royalOffences,coiningOffences
59,female,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
not known,female,1,male,theft,theftFromPlace
not known,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,pocketpicking
not known,female,0,nan,kill,infanticide
17,male,1,male,theft,grandLarceny
62,male,1,male,breakingPeace,wounding
not known,male,1,male,theft,burglary
19,male,1,male,theft,shoplifting
not known,male,1,male,theft,shoplifting
not known,female,1,female,theft,grandLarceny
52,male,0,nan,deception,forgery
