example_id,label
0,0
1,0
2,1
3,1
4,0
5,1
6,1
7,1
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,1
16,0
17,0
18,0
19,1
20,1
21,1
22,0
23,1
24,1
25,1
26,1
27,0
28,0
29,0
30,0
31,1
32,1
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,0
48,1
49,1
50,1
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,1
65,0
66,0
67,0
68,1
69,1
70,1
71,1
72,0
73,0
74,1
75,1
76,1
77,0
78,1
79,1
80,1
81,1
82,0
83,1
84,1
85,0
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,1
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,0
109,0
110,1
111,1
112,1
113,1
114,1
115,1
116,0
117,0
118,0
119,1
120,1
121,1
122,1
123,1
124,1
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,1
134,1
135,0
136,0
137,1
138,0
139,1
140,0
141,1
142,1
143,0
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,1
154,1
155,1
156,0
157,0
158,1
159,1
160,0
161,0
162,1
163,0
164,0
165,0
166,1
167,0
168,1
169,1
170,0
171,1
172,0
173,0
174,1
175,1
176,0
177,1
178,0
179,0
180,0
181,0
182,1
183,1
184,0
185,0
186,1
187,1
188,1
189,0
190,0
191,0
192,0
193,0
194,1
195,0
196,1
197,0
198,0
199,1
200,1
201,0
202,0
203,0
204,1
205,0
206,1
207,1
208,1
209,0
210,0
211,1
212,0
213,1
214,1
215,0
216,1
217,1
218,1
219,0
220,0
221,1
222,1
223,1
224,0
225,1
226,0
227,1
228,1
229,0
230,1
231,1
232,0
233,0
234,0
235,0
236,1
237,1
238,0
239,1
240,1
241,0
242,1
243,0
244,0
245,1
246,1
247,0
248,0
249,1
250,0
251,1
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,1
260,0
261,1
262,0
263,0
264,1
265,0
266,0
267,1
268,1
269,0
270,1
271,0
272,1
273,0
274,0
275,0
276,0
277,1
278,1
279,0
280,0
281,0
282,0
283,1
284,1
285,1
286,1
287,1
288,0
289,1
290,0
291,0
292,1
293,0
294,1
295,1
296,0
297,0
298,0
299,0
300,0
301,0
302,1
303,0
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,0
313,1
314,1
315,1
316,1
317,0
318,1
319,1
320,0
321,1
322,1
323,1
324,0
325,1
326,0
327,1
328,1
329,0
330,1
331,0
332,0
333,0
334,1
335,1
336,1
337,1
338,1
339,0
340,0
341,0
342,1
343,0
344,1
345,1
346,1
347,1
348,0
349,0
350,1
351,1
352,1
353,0
354,0
355,0
356,0
357,1
358,1
359,0
360,1
361,1
362,0
363,1
364,1
365,0
366,1
367,1
368,0
369,1
370,1
371,0
372,1
373,0
374,1
375,1
376,1
377,0
378,0
379,0
380,1
381,0
382,0
383,0
384,1
385,1
386,1
387,0
388,1
389,1
390,0
391,0
392,0
393,0
394,0
395,1
396,1
397,0
398,0
399,0
400,1
401,0
402,0
403,0
404,1
405,1
406,0
407,1
408,0
409,0
410,0
411,1
412,1
413,0
414,0
415,0
416,1
417,0
418,1
419,1
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,1
430,1
431,1
432,0
433,1
434,0
435,0
436,1
437,0
438,0
439,0
440,1
441,0
442,0
443,1
444,1
445,1
446,0
447,1
448,1
449,0
450,1
451,0
452,1
453,0
454,0
455,0
456,1
457,0
458,1
459,0
460,1
461,0
462,1
463,0
464,0
465,1
466,0
467,1
468,1
469,0
470,0
471,1
472,0
473,0
474,1
475,0
476,1
477,0
478,1
479,0
480,0
481,0
482,1
483,0
484,1
485,0
486,0
487,1
488,0
489,0
490,1
491,1
492,0
493,1
494,0
495,1
496,1
497,0
498,1
499,1
500,0
501,1
502,1
503,1
504,1
505,0
506,0
507,1
508,0
509,0
510,1
511,1
512,1
513,0
514,0
515,0
516,0
517,0
518,0
519,1
520,1
521,0
522,1
523,0
524,1
525,1
526,1
527,0
528,0
529,0
530,0
531,1
