Hugh Salimbeni
Trevor Darrell
Abhishek Gupta
Kris Sankaran
Alexandre Lacoste
Rémi Flamary
Felix Hill
Tommi Jaakkola
Zhaohui Yang
Alexander Golovnev
Hamed Hassani
David John
Mohammad Khan
Andres Munoz
Sebastian Ordyniak
Bolton Bailey
Abigail Katcoff
Tianjiao Ding
Hongwei Wang
Daan Wierstra
Marc Deisenroth
Lingjiao Chen
Liangzu Peng
Elliot Meyerson
Biwei Huang
Quentin Rebjock
Matt Taddy
Wenyuan Zeng
Olivier Fortineau
Kevin Leyton-Brown
Vijay Badrinarayanan
Abhinav Gupta
Aditya Gilra
Nicolas Usunier
Jessica Hamrick
Junzhou Huang
Teng Zhang
Yasaman Bahri
Sungroh Yoon
Jason Eisner
Tanmoy Bhattacharya
Adrian Vladu
Junbo Zhao
Sunghyun Park
Keisuke Yamazaki
Robert Nishihara
Simon Olofsson
Vijayaraghavan Murali
Emmanuel Kahembwe
Andy Neely
Peter Battaglia
Yannic Kilcher
David Parkes
Helen King
Thomas Kerdreux
Yoram Bachrach
Mahesh Chandra Mukkamala
Ness Shroff
Ronen Basri
Aristide Baratin
Bryan Perozzi
Ufuk Topcu
Matthew Jagielski
Harlan Seymour
Kirthevasan Kandasamy
Anna Harutyunyan
Carleton Kingsford
Nikita Doikov
Judy Hoffman
Eric Tzeng
Daniele Calandriello
Alain Tapp
Sheetal Kalyani
Hwanjun Song
Blake Woodworth
Kedar Tatwawadi
Ahmed Hefny
Lingxiao Wang
Aritra Guha
Xiaobo Shen
James Tin-Yau Kwok
Kevin Jamieson
Ciara Pike-Burke
Chen Huang
Zafarali Ahmed
Eric Christiansen
Arnaud Autef
RJ-Skerry Ryan
Enrique Munoz De Cote
Kamyar Azizzadenesheli
Chiranjib Bhattacharyya
Theodoros Damoulas
César Laurent
Weipin Wong
Levent Sagun
Scott Jordan
Karren Yang
Travis Gibson
Pierre Perrault
Thanh Nguyen
Trevor Campbell
Udit Gupta
Ritesh Noothigattu
Tamara Broderick
James Cheng
Yujia Shen
Thomas Leung
Stephen Roberts
Francois-Xavier Briol
Ramesh Johari
Prashanth L.A.
Rishabh Kabra
Erich Elsen
Mehrdad Farajtabar
Tarun Kathuria
Michael Ryoo
Jaehyeok Shin
Sven Schmit
Xinyang Geng
Jennifer Gillenwater
Marko Mitrovic
Genevieve Patterson
Venkatesh Saligrama
Paul Grant
Michal Valko
Viatcheslav Gurev
Eric Vanden-Eijnden
David Woodruff
Boris Sharchilev
Noah Gundotra
Phillip Isola
Eldad Meller
Travis Dick
Irad Yavneh
Ping-Chun Hsieh
Vibhav Gogate
Yunbo Wang
David Greenberg
Patrick Thiran
Hyunjung Shim
Ryota Suzuki
Jianbo Chen
Ivan Oseledets
Allan Grønlund
David Raposo
Alexandra Brintrup
Michael Bowling
Yaron Singer
Richard Baraniuk
Daniel Reichman
Julien Rabin
Albert Gural
Boris Murmann
Sergey Bartunov
Frank Meyer
Alexander Buchholz
Nicholas Bambos
Tatsunori Taniai
Jennifer Listgarten
Ngai Wong
Julien Mairal
David Wipf
Stefanos Poulis
Franz Franchetti
Tsachy Weissman
Joel Shor
Nimrod Segol
Pierre Baque
Christopher Harshaw
David Andersen
Huizhuo Yuan
Mark Girolami
Dominik Grewe
Stephan Clemencon
Jacob Steinhardt
Yury Polyanskiy
Daniel Rueckert
Carl Allen
Moritz Hardt
Kavosh Asadi
Rudolf Kadlec
Pulkit Agrawal
Ramin Raziperchikolaei
Eugenio Culurciello
Siamak Ravanbakhsh
Jonas Kohler
Lijun Zhang
Jeremy Nixon
Gerhard Neumann
Tong Wang
Vijay Keswani
Mirco Mutti
Mojmir Mutny
Amir Globerson
Daniel Jiang
Guillaume Lecue
Akhilan Boopathy
Hiroyuki Sato
Kevin Swersky
James Bailey
Samuel Wiqvist
Sergey Levine
Rachel Ward
Nikhil Mishra
Kambis Veschgini
Cédric Colas
Judith Rousseau
Gopinath Chennupati
Kevin Smith
Kaushik Sinha
Dzung Phan
Devansh Arpit
Arash Mehrjou
Ceyda Oğuz
Zhenyu Liao
Stefan Wermter
Sudipto Guha
Miika Aittala
Kenji Doya
Kevin Winner
Sabine Storandt
Bryant Chen
Vlad Niculae
Thomas Schön
Weiyao Wang
Hanwen Xing
Ananda Theertha Suresh
Sergey Ivanov
Siwei Wang
Martin Engelcke
Karol Gregor
Vignesh Ganapathiraman
Huanyu Zhang
Konrad Żołna
Christopher Olah
