Hugh Salimbeni
Trevor Darrell
Abhishek Gupta
Richard Turner
Kris Sankaran
Yeonwoo Jeong
Alexandre Lacoste
Rémi Flamary
Felix Hill
Tommi Jaakkola
Zhaohui Yang
Alexander Golovnev
Hamed Hassani
David John
Mohammad Khan
Andres Munoz
Sebastian Ordyniak
Noga Rotman
Bolton Bailey
Abigail Katcoff
Mohamed Zaki
Tianjiao Ding
Hongwei Wang
Daan Wierstra
Mikael Johansson
Marc Deisenroth
Lingjiao Chen
Yucheng Chen
Liangzu Peng
Elliot Meyerson
Biwei Huang
Quentin Rebjock
Matt Taddy
Wenyuan Zeng
Suraj Srinivas
Will Grathwohl
Olivier Fortineau
Kevin Leyton-Brown
Vijay Badrinarayanan
Abhinav Gupta
Aditya Gilra
Nicolas Usunier
Vojtech Franc
Jessica Hamrick
Junzhou Huang
Teng Zhang
Yudong Chen
Yasaman Bahri
Sungroh Yoon
Jason Eisner
Tanmoy Bhattacharya
Julien Perolat
Adrian Vladu
Junbo Zhao
Ilya Shpitser
Sunghyun Park
Keisuke Yamazaki
Robert Nishihara
Simon Olofsson
Vijayaraghavan Murali
Emmanuel Kahembwe
Andy Neely
Peter Battaglia
Alessandro Sordoni
Yannic Kilcher
David Parkes
Helen King
Thomas Kerdreux
Yoram Bachrach
Taiji Suzuki
Mahesh Chandra Mukkamala
Ness Shroff
Ronen Basri
Aristide Baratin
Barret Zoph
Bryan Perozzi
Ufuk Topcu
Matthew Jagielski
Harlan Seymour
Kirthevasan Kandasamy
Anna Harutyunyan
Carleton Kingsford
Nikita Doikov
Judy Hoffman
Eric Tzeng
Daniele Calandriello
Alain Tapp
Sheetal Kalyani
Hwanjun Song
Blake Woodworth
Kedar Tatwawadi
Ahmed Hefny
Lingxiao Wang
Jackson Gorham
Aritra Guha
Matthew Mirman
Xiaobo Shen
James Tin-Yau Kwok
Kevin Jamieson
Ciara Pike-Burke
Chen Huang
Zafarali Ahmed
Eric Christiansen
Arnaud Autef
RJ-Skerry Ryan
Enrique Munoz De Cote
Kamyar Azizzadenesheli
Chiranjib Bhattacharyya
Theodoros Damoulas
César Laurent
Weipin Wong
Levent Sagun
Ashok Cutkosky
Scott Jordan
Karren Yang
Florian Stimberg
Gauthier Gidel
Travis Gibson
Giulia Desalvo
Pierre Perrault
Thanh Nguyen
Trevor Campbell
Udit Gupta
Ritesh Noothigattu
Tamara Broderick
Norman Casagrande
Balaji Lakshminarayanan
James Cheng
Yujia Shen
Thomas Leung
Stephen Roberts
Francois-Xavier Briol
Tavi Halperin
Ramesh Johari
Prashanth L.A.
Rishabh Kabra
Erich Elsen
Yoav Goldberg
Arpit Agarwal
Niladri Chatterji
Mehrdad Farajtabar
Tarun Kathuria
Michael Ryoo
Andreas Loukas
Jaehyeok Shin
Sven Schmit
Xinyang Geng
Jennifer Gillenwater
Marko Mitrovic
Genevieve Patterson
Venkatesh Saligrama
Paul Grant
Michal Valko
Viatcheslav Gurev
Eric Vanden-Eijnden
Fabio Ramos
Aryan Mokhtari
David Woodruff
Philippe Donnat
Boris Sharchilev
Noah Gundotra
Phillip Isola
Yunchen Yang
Eldad Meller
Travis Dick
Irad Yavneh
Ping-Chun Hsieh
Vibhav Gogate
Yunbo Wang
David Greenberg
Patrick Thiran
Frederic Koriche
Hyunjung Shim
Ryota Suzuki
Jianbo Chen
Satoshi Hara
Ivan Oseledets
Allan Grønlund
David Raposo
Nilesh Tripuraneni
Alexandra Brintrup
Michael Bowling
Yaron Singer
Richard Baraniuk
Daniel Reichman
Julien Rabin
Albert Gural
Boris Murmann
Sergey Bartunov
Greg Turk
Frank Meyer
Alexander Buchholz
Nicholas Bambos
Tatsunori Taniai
Jennifer Listgarten
Thomas LUCAS
Ngai Wong
Julien Mairal
David Wipf
Raghu Meka
Stefanos Poulis
Franz Franchetti
Tsachy Weissman
Joel Shor
Yann Ollivier
Roland Hafner
Nimrod Segol
Elisa Celis
Alberto Bietti
Pierre Baque
Christopher Harshaw
David Andersen
Huizhuo Yuan
Faustino Gomez
Mark Girolami
Dominik Grewe
Stephan Clemencon
Jacob Steinhardt
Yury Polyanskiy
Priyank Jaini
Christoph Hofer
Daniel Rueckert
Carl Allen
Moritz Hardt
Kavosh Asadi
Rudolf Kadlec
Pulkit Agrawal
Pranjal Awasthi
Ramin Raziperchikolaei
Mahmoud Assran
Eugenio Culurciello
Saurabh Kumar
Siamak Ravanbakhsh
