Ahmed Douik
Gael Richard
Nicholas Carlini
Peter Bailis
Dimitris Tsipras
Manolis Tsakiris
Caglar Gulcehre
John Quan
Aldo Pacchiano
Hesham Mostafa
Claudio Gentile
Steve Renals
James Wexler
Niels Ipsen
Cesar Uribe
Neil Dalchau
Shao Wenqi
Yonatan Geifman
Neil Burch
Edgar Minasyan
George Chen
Nancy Baym
Justin Romberg
Laurent Orseau
Trimpe Sebastian
Shiyu Chang
Duane Boning
Shiva Kasiviswanathan
Geoffrey Gordon
Axel Abels
Ankit Patel
Vineet Gupta
Dimitris Papailiopoulos
Avishek Bose
Mohammad Emtiyaz Khan
Dino Oglic
Simone Rossi
Chris Oates
Yizhe Zhang
Gabriele Farina
Minh Hoang
Keith Levin
Shashank Rajput
Zhiru Zhang
Piyushi Manupriya
Ramchandran Kannan
Aurick Qiao
Pierre Laforgue
Daizong Ding
Elliot Creager
Nicolas Flammarion
Alexander Greaves-Tunnell
Samy Jelassi
Kamil Ciosek
Aliaksei Severyn
Adnan Darwiche
Ryan Murphy
Evan Shelhamer
Paul Rolland
Zhangyang Wang
John Lafferty
Thomas Möllenhoff
Doron Haviv
Zuofeng Shang
Giulia Denevi
Mark McLeod
Damian Straszak
Tijana Zrnic
Yichi Zhou
Vayer Titouan
David Balduzzi
Lucas Lehnert
Gregory Naitzat
Zhizhen Zhao
Pedro Soto
Richard Zhang
Martin Zhang
Eliav Buchnik
Jiantao Jiao
Linyuan Gong
Michael Veale
Hiromi Arai
Markus Wulfmeier
Karen Simonyan
Jian Peng
Elias Bareinboim
Christopher Burgess
Tian Tian
Prabhat Nagarajan
Shuaiwen Wang
Slobodan Mitrović
Rebecca Willett
Zachary Ziegler
Roland Kwitt
Panayotis Mertikopoulos
Debmalya Panigrahi
Jiong Zhang
Steve Huntsman
Marcin Michalski
Luca Daniel
Satyen Kale
Chao Zhang
Akifumi Okuno
Yigitcan Kaya
Nicholas Sidiropoulos
Taisuke Yasuda
Yizhen Wang
Zuowei Shen
Matteo Pirotta
Yuxuan Song
Tzahi Shimkin
Sasha Salter
Shouvanik Chakrabarti
Peilin Zhong
Rene Vidal
Tabish Rashid
Nicolas Vayatis
Vijai Mohan
Ramakrishna Vedantam
Mete Ozay
